Undefined offset: 1 : line:137 , date: 2019-12-31 06:59:05; filename: 4_5767208546638760101.csv; 
Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:37; filename: farrokhshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:37; filename: ferdows_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:37; filename: fereydunkenar_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:37; filename: fuman_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:37; filename: garmsar_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:37; filename: ghayen_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:38; filename: golpayegan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:38; filename: gomishan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:38; filename: gonabad_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:38; filename: gonbad-kavus_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:00:38; filename: gorgan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: nowshahr_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: nowshahr_20191217.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: nur_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: nurabad_20191216.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: qaemshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: qazvin_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: qeshm_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:04; filename: qeydar_20191214.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 12:28:11; filename: qom_2019128.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 12:28:15; filename: qom_2019129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:15; filename: qorveh_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:15; filename: rasht_2019128.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:15; filename: shahrekord_20191213.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:15; filename: shahrekord_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:15; filename: abadeh_20191129.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:31; filename: ahvaz_2019126.csv; 

Undefined offset: 1 : line:137 , date: 2019-12-31 12:28:47; filename: ahvaz_2019127.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: aliabad-katul_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: falavarjan_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: farrokhshahr_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: ferdows_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: fereydunkenar_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: fuman_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: garmsar_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: ghayen_20191214.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: golpayegan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: gomishan_20191215.csv; 

Undefined offset: 1 : line:151 , date: 2019-12-31 12:28:47; filename: gonabad_20191215.csv; 

